"","site_identifier","CLSTR_ID","visit_number","meas_yr","first_msmt","last_msmt","TSA_DESC","sampletype","project_design","BEC_ZONE","ysm_main_fm","mat_main_fm","species_class","MEAS_DT","TFL","NO_PLOTS","own_sched_descrip","psp_status","grid_size","grid_base","IP_UTM","IP_EAST","IP_NRTH","beclabel","SAMP_TYP","UTIL","BA_HA_LS","BA_HA_DS","STEMS_HA_LS","STEMS_HA_DS","VHA_WSV_LS","VHA_WSV_DS","VHA_NTWB_LS","VHA_NTWB_DS","spc_live_1","SPB_CPCT_LS","si_m_tlso","ht_tlso","ageb_tlso","aget_tlso","BC_ALBERS_X","BC_ALBERS_Y","objectid"
"11",1293656,"1293656-M1",1,2017,"Y","Y","Lakes TSA","CMI","GRID","ESSF","N","Y","TrueFir","2017-09-22","",1,"Crown - Forest Management Unit (TSA)","","20km X 20km","NFI",0,0,0,"ESSFmv3","F",4,56.847,11.868,2602,1001,388.877,57.01,318.968,33.024,"BL","BL  96 SE 04",0,18.6,157.8,179.7,1030000,1100000,23447
"12",1293661,"1293661-F1",1,2001,"Y","N","Prince George TSA","NFI","GRID","SBS","N","Y","Poplar","2001-06-22","",1,"Crown - Miscel Reserve","","20km X 20km","NFI",0,0,0,"SBSmk1","F",4,53.399,11.067,900,575,584.571,87.609,497.403,58.723,"AT","AT  65 SW 19 BL 16",19.9,30.8,124.8,128.1,1050000,1100000,23448
"13",1293661,"1293661-F2",2,2014,"N","Y","Prince George TSA","NFI","GRID","SBS","N","Y","Poplar","2014-07-24","",1,"Crown - Miscel Reserve","","20km X 20km","NFI",0,0,0,"SBSmk1","F",4,56.679,11.894,575,475,659.216,77.02,586.433,57.735,"AT","AT  63 SW 21 BL 16",24.2,34.8,126.9,129.9,1050000,1100000,23449
"14",1293666,"1293666-M1",1,2014,"Y","Y","Prince George TSA","CMI","GRID","SBS","N","Y","TrueFir","2014-08-15","",1,"Crown - Forest Management Unit (TSA)","","20km X 20km","NFI",0,0,0,"SBSmk1","F",4,20.212,13.198,2526,675,97.64,77.918,60.546,62.307,"BL","BL  54 SW 23 PL 18 FD 05",10.7,14.9,72.5,89.5,1070000,1100000,23450
"15",1300536,"1300536-M1",1,2017,"Y","Y","Lakes TSA","CMI","GRID","SBS","N","Y","TrueFir","2017-08-14","",1,"Crown - Forest Management Unit (TSA)","","20km X 20km","NFI",0,0,0,"SBSmc2","F",4,1.987,8.438,125,125,9.675,119.522,6.906,110.647,"BL","BL 100",22.2,5.8,53.8,72.8,1030000,1080000,23478
"16",2147173,"2147173-Y1",1,2014,"Y","N","Prince George TSA","YSM","GRID","SBS","Y","N","Other","2014-10-05","",1,"Crown - First Nations Woodland Licence","","10km X 10km","NFI",0,0,0,"SBSdw3","F",4,19.839,0,1451,0,138.151,0,98.838,0,"EP","EP  88 SW 10 AC 02",24.5,19.9,32.5,35.4,1070000,1090000,25813
"17",2147173,"2147173-Y2",2,2019,"N","Y","Prince George TSA","YSM","GRID","SBS","Y","N","Other","2019-07-07","",1,"Crown - First Nations Woodland Licence","","10km X 10km","NFI",0,0,0,"SBSdw3","F",4,23.859,0.644,1351,200,173.38,1.753,128.711,0,"EP","EP  85 SW 13 AC 02",24.7,20.9,35.2,38.1,1070000,1090000,25814
"18",2147175,"2147175-Y1",1,2014,"Y","N","Prince George TSA","YSM","GRID","SBS","Y","N","Poplar","2014-10-07","",1,"Crown - Community Forest","","10km X 10km","NFI",0,0,0,"SBSwk3","F",4,6.748,0.233,1802,25,27.747,0.937,3.403,0,"AT","AT  53 EP 35 AC 08 BL 04",21.7,12.8,22.7,25.8,1060000,1090000,25815
"19",2147175,"2147175-Y2",2,2019,"N","Y","Prince George TSA","YSM","GRID","SBS","Y","N","Poplar","2019-07-08","",1,"Crown - Community Forest","","10km X 10km","NFI",0,0,0,"SBSwk3","F",4,9.799,0.204,2177,25,45.736,0.801,9.662,0,"AT","AT  43 EP 42 AC 07 BL 04 SW 04",21.4,14.6,27.7,30.8,1060000,1090000,25816
"20",2147181,"2147181-Q1",1,2017,"Y","Y","Lakes TSA","SUP","GRID","SBS","N","Y","TrueFir","2017-08-17","",5,"Crown - Forest Management Unit (TSA)","","10km X 20km","NFI",0,0,0,"SBSwk3","V",4,21,15.4,476,156,181.725,133.948,161.762,110.319,"BL","BL  53 SW 47",16.6,29.6,116.8,134.1,1030000,1090000,25817
"21",2151179,"2151179-Y1",1,2014,"Y","N","Prince George TSA","YSM","GRID","SBS","Y","N","Pine","2014-10-10","",1,"Crown - Forest Management Unit (TSA)","","10km X 10km","NFI",0,0,0,"SBSwk3","F",4,12.332,0,1451,0,60.6,0,27.612,0,"PL","PL  58 AC 28 BL 14",23,9.9,15,20.6,1040000,1110000,25851
"22",2151179,"2151179-Y2",2,2019,"N","Y","Prince George TSA","YSM","GRID","SBS","Y","N","Pine","2019-07-15","",1,"Crown - Forest Management Unit (TSA)","","10km X 10km","NFI",0,0,0,"SBSwk3","F",4,18.159,1.718,1526,250,100.227,6.508,58.398,1.517,"PL","PL  50 AC 36 BL 12 SW 02",22.9,13.4,21,26.8,1040000,1110000,25852
"23",2155177,"2155177-Y1",1,2014,"Y","N","Prince George TSA","YSM","GRID","SBS","N","N","TrueFir","2014-10-10","",1,"Crown - Forest Management Unit (TSA)","","10km X 10km","NFI",0,0,0,"SBSwk3","F",4,0.706,1.395,300,150,1.287,5.772,0,3.667,"BL","BL 100",0,0,0,0,1050000,1130000,25891
"24",2155177,"2155177-Y2",2,2019,"N","Y","Prince George TSA","YSM","GRID","SBS","N","N","TrueFir","2019-07-15","",1,"Crown - Forest Management Unit (TSA)","","10km X 10km","NFI",0,0,0,"SBSwk3","F",4,0.808,1.631,400,250,1.311,6.263,0,3.71,"BL","BL 100",0,0,0,0,1050000,1130000,25892
"25",2155179,"2155179-Y1",1,2014,"Y","N","Prince George TSA","YSM","GRID","SBS","Y","N","Pine","2014-10-06","",1,"Crown - Forest Management Unit (TSA)","","10km X 10km","NFI",0,0,0,"SBSwk3","F",4,19.012,0,2502,0,82.54,0,37.074,0,"PL","PL  53 BL 40 SW 07",17.1,10.3,25.5,32.1,1040000,1130000,25893
"26",2155179,"2155179-Y2",2,2019,"N","Y","Prince George TSA","YSM","GRID","SBS","Y","N","Pine","2019-07-14","",1,"Crown - Forest Management Unit (TSA)","","10km X 10km","NFI",0,0,0,"SBSwk3","F",4,23.156,0,2402,0,111.164,0,61.623,0,"PL","PL  56 BL 40 SW 04",16.4,11.8,30.5,37.2,1040000,1130000,25894
"27",6001083,"6001083-T1",1,2007,"Y","N","Lakes TSA","VRI","RANDOM","SBS","N","N","Pine","2007-08-16","",5,"Crown - Forest Management Unit (TSA)","","","",10,333019,6073381,"SBSmc2","V",4,4,17,227,241,23.135,159.563,15.536,142.946,"PL","PL  75 EP 25",22.6,21.4,69,76.6,1025894.374,1086724.718,27203
"28",6001083,"6001083-Q2",2,2012,"N","Y","Lakes TSA","VRI","RANDOM","SBS","N","N","Pine","2012-10-02","",5,"Crown - Forest Management Unit (TSA)","","","",10,333019,6073381,"SBSmc2","V",4,5,18,713,252,27.878,170.305,20.166,152.385,"PL","PL  60 BL 20 EP 20",9,15.7,120,131.2,1025894.374,1086724.718,27204
"29",6001126,"6001126-T1",1,2007,"Y","Y","Lakes TSA","VRI","RANDOM","SBS","N","Y","Spruce","2007-08-18","",5,"Crown - Forest Management Unit (TSA)","","","",10,335016,6078220,"SBSmc2","V",4,23.8,25.2,381,540,240.92,236.504,216.161,202.066,"SW","SW  47 AT 29 PL 24",16.8,28.1,105.2,116.1,1027677.88,1091658.32,27282
"30",6001677,"6001677-Q1",1,2014,"Y","Y","Prince George TSA","VRI","RANDOM","SBS","N","Y","TrueFir","2014-06-17","",5,"Crown - Forest Management Unit (TSA)","","","",10,368947,6088496,"SBSmk1","V",4,28.8,28.8,1281,420,224.134,262.553,181.185,225.42,"BL","BL  50 SW 31 FD 13 PL 06",10.7,22.9,136,153,1061051.76,1103405.945,27838
"31",6001714,"6001714-Q1",1,2014,"Y","Y","Prince George TSA","VRI","RANDOM","SBS","N","Y","Spruce","2014-08-17","",5,"Crown - Forest Management Unit (TSA)","","","",10,388948,6103782,"SBSmk1","V",4,39.6,18,3453,896,227.545,139.965,167.323,118.53,"SW","SW  64 BL 36",9,21.9,152.3,169.6,1080332.662,1119577.42,27875
"32",6001756,"6001756-Q1",1,2014,"Y","Y","Prince George TSA","VRI","RANDOM","SBS","N","Y","Spruce","2014-08-28","",5,"Crown - Forest Management Unit (TSA)","","","",10,365254,6091359,"SBSwk3","V",4,14,30.8,291,416,123.661,319.761,109.284,286.648,"SW","SW  90 AC 10",24.5,40.4,150,158.7,1057249.311,1106116.745,27917
"33",6001807,"6001807-D1",1,2008,"Y","Y","Prince George TSA","VRI","RANDOM","SBS","N","Y","Poplar","2008-10-20","",5,"Crown - Forest Management Unit (TSA)","","","",10,339422,6075724,"SBSmc2","V",4,19.6,4.2,370,53,167.64,34.783,130.872,28.927,"AT","AT  50 EP  50",16.4,24.8,117.2,120.9,1032174.626,1089346.201,27967
"34",6001811,"6001811-D1",1,2008,"Y","Y","Prince George TSA","VRI","RANDOM","SBS","N","Y","Poplar","2008-10-04","",5,"Crown - Miscel Reserve","","","",10,365587,6085036,"SBSmk1","V",4,57.6,1.8,1041,30,560.038,13.014,478.077,9.891,"AT","AT  94 SW 06",21.9,28,101.5,104.8,1057850.907,1099795.43,27971
"35",6005280,"6005280-Q1",1,2001,"Y","Y","Lakes TSA","VRI","RANDOM","ESSF","N","Y","TrueFir","2001-07-20","",5,"Crown - Forest Management Unit (TSA)","","","",10,335636,6090538,"ESSFmv3","V",4,39.6,0,1743,0,257.474,0,205.497,0,"BL","BL  68 SE 32",5.2,18.2,197.5,222.2,1027769.969,1104026.002,31435
"36",6005284,"6005284-Q1",1,2001,"Y","Y","Lakes TSA","VRI","RANDOM","ESSF","N","Y","TrueFir","2001-07-22","",4,"Crown - Forest Management Unit (TSA)","","","",10,336321,6085782,"ESSFmv3","V",4,54,36,1058,1616,405.991,224.182,361.223,162.622,"BL","BL  63 SE 37",8.8,22.8,173,192.1,1028655.577,1099290.444,31439
"37",6005287,"6005287-Q1",1,2001,"Y","Y","Lakes TSA","VRI","RANDOM","ESSF","N","Y","TrueFir","2001-07-20","",5,"Crown - Forest Management Unit (TSA)","","","",10,335620,6087719,"ESSFmv3","V",4,43.2,0,5167,0,205.382,0,134.627,0,"BL","BL  96 SE 04",6.1,20.2,200.5,225.5,1027874.388,1101201.04,31442
"38",6005308,"6005308-Q1",1,2001,"Y","Y","Lakes TSA","VRI","RANDOM","ESSF","N","Y","Pine","2001-07-21","",5,"Crown - Forest Management Unit (TSA)","","","",10,335248,6081322,"ESSFmv3","V",4,39.6,0,1552,0,301.95,0,259.561,0,"PL","PL  41 BL 32 SE 27",11.4,22.4,157.5,166.6,1027776.725,1094776.093,31464
"39",6005350,"6005350-Q1",1,2001,"Y","Y","Lakes TSA","VRI","RANDOM","ESSF","N","Y","TrueFir","2001-07-23","",4,"Crown - Forest Management Unit (TSA)","","","",10,333992,6087294,"ESSFmv3","V",4,38.25,18,1120,295,294.656,144.576,254.753,118.703,"BL","BL  94 SE 06",8.2,21,160,180.3,1026270.332,1100705.471,31508
"40",6005892,"6005892-D1",1,2006,"Y","Y","Prince George TSA","VRI","RANDOM","SBS","N","Y","Pine","2006-09-16","",5,"Crown - Forest Management Unit (TSA)","","","",10,343835,6115645,"SBSwk3","V",4,36,0,2509,0,309.275,0,226.954,0,"PL","PL 100",19.2,23.1,70,76.2,1034866.813,1129531.601,32048
"41",6005895,"6005895-D1",1,2006,"Y","Y","Prince George TSA","VRI","RANDOM","ESSF","N","Y","Spruce","2006-09-13","",4,"Crown - Forest Management Unit (TSA)","","","",10,333221,6122917,"ESSFmv3","V",4,47.25,14,1355,178,465.282,85.969,413.815,78.502,"SE","SE  41 PL 37 BL 22",13.6,25.8,107,123.3,1023978.626,1136360.762,32051
"42",6005919,"6005919-D1",1,2006,"Y","Y","Prince George TSA","VRI","RANDOM","SBS","N","N","Other","2006-08-16","",2,"Crown - Forest Management Unit (TSA)","","","",10,348803,6121643,"SBSwk3","F",4,0,0,0,0,0,0,0,0,"","",0,0,0,0,1039560.858,1135754.086,32075
"43",6005924,"6005924-D1",1,2006,"Y","Y","Prince George TSA","VRI","RANDOM","ESSF","N","Y","TrueFir","2006-09-17","",5,"Crown - Forest Management Unit (TSA)","","","",10,319990,6116067,"ESSFmv3","V",4,20,0,3101,0,75.149,0,39.427,0,"BL","BL  80 SE 20",0,0,0,0,1011088.075,1128929.308,32080
"44",6005930,"6005930-D1",1,2006,"Y","Y","Prince George TSA","VRI","RANDOM","SBS","N","Y","Spruce","2006-09-21","",5,"Crown - Forest Management Unit (TSA)","","","",10,352119,6119399,"SBSwk3","V",4,27,0,417,0,243.424,0,221.422,0,"SW","SW  87 BL 07 PL 06",9.9,24.9,160.7,176.1,1042961.45,1133648.236,32086
"45",6005935,"6005935-D1",1,2006,"Y","Y","Prince George TSA","VRI","RANDOM","SBS","N","Y","TrueFir","2006-09-18","",4,"Crown - Forest Management Unit (TSA)","","","",10,323458,6110404,"SBSwk3","V",4,42,24,1355,1238,305.195,158.689,262.757,115.57,"BL","BL  50 PL 29 SW 21",3.9,15.9,216,243.8,1014786.127,1123405.475,32091
"46",6006012,"6006012-D1",1,2006,"Y","Y","Prince George TSA","VRI","RANDOM","ESSF","N","Y","TrueFir","2006-10-25","",4,"Crown - Forest Management Unit (TSA)","","","",10,356294,6113909,"ESSFmv3","V",4,27,0,3383,0,113.725,0,80.536,0,"BL","BL  83 PL 09 SE 08",4,15.3,207,234.8,1047356.912,1128326.933,32168
"47",6006018,"6006018-D1",1,2006,"Y","Y","Prince George TSA","VRI","RANDOM","SBS","N","Y","Spruce","2006-08-17","",3,"Crown - Forest Management Unit (TSA)","","","",10,353682,6123138,"SBSwk3","V",4,52,0,573,0,494.107,0,452.766,0,"SW","SW  62 BL 23 PL 15",18,29,102.3,112.7,1044359.055,1137461.351,32174
"48",6006027,"6006027-Q1",1,2008,"Y","Y","Prince George TSA","VRI","RANDOM","SBS","N","Y","Spruce","2008-10-20","",5,"Crown - Forest Management Unit (TSA)","","","",10,352777,6076159,"SBSwk3","V",4,30.8,7,795,70,240.154,67.819,193.314,61.717,"SW","SW  32 EP 27 FD 27 AT 14",0,0,0,0,1045463.957,1090353.296,32183
"49",6006031,"6006031-Q1",1,2008,"Y","Y","Prince George TSA","VRI","RANDOM","ESSF","N","Y","TrueFir","2008-10-19","",5,"Crown - Forest Management Unit (TSA)","","","",10,331612,6099423,"ESSFmv3","V",4,43.2,3.6,1579,55,250.346,13.738,203.908,10.835,"BL","BL 100",3.3,13,204,233.6,1023380.697,1112754.873,32187
"50",6006035,"6006035-D1",1,2008,"Y","Y","Prince George TSA","VRI","RANDOM","SBS","N","Y","TrueFir","2008-10-07","",5,"Crown - Forest Management Unit (TSA)","","","",10,332955,6105085,"SBSwk3","V",4,55.2,4.8,3592,40,418.695,41.167,344.37,33.076,"BL","BL  78 SW 22",0,0,147.3,164.3,1024476.84,1118484.926,32191
"51",6006036,"6006036-D1",1,2008,"Y","Y","Prince George TSA","VRI","RANDOM","SBS","N","N","TrueFir","2008-10-24","",5,"Crown - Forest Management Unit (TSA)","","","",10,367532,6109408,"SBSwk3","V",4,28.8,21.6,1209,628,231.882,101.869,193.307,75.121,"BL","BL  88 SW 12",0,0,206,224.8,1058748.809,1124298.767,32192
"52",6006038,"6006038-D1",1,2008,"Y","Y","Prince George TSA","VRI","RANDOM","SBS","N","N","Pine","2008-10-07","",5,"Crown - Forest Management Unit (TSA)","","","",10,346111,6105614,"SBSwk3","V",4,48.6,3.6,3039,72,350.232,28.853,291.94,25.636,"PL","PL  63 BL 33 SW 04",16,21,72.2,78.8,1037563.895,1119579.49,32194
