"","site_identifier","CLSTR_ID","visit_number","meas_yr","first_msmt","last_msmt","TSA_DESC","sampletype","project_design","BEC_ZONE","ysm_main_fm","mat_main_fm","species_class","MEAS_DT","TFL","NO_PLOTS","own_sched_descrip","psp_status","grid_size","grid_base","IP_UTM","IP_EAST","IP_NRTH","beclabel","SAMP_TYP","UTIL","BA_HA_LS","BA_HA_DS","STEMS_HA_LS","STEMS_HA_DS","VHA_WSV_LS","VHA_WSV_DS","VHA_NTWB_LS","VHA_NTWB_DS","spc_live_1","SPB_CPCT_LS","si_m_tlso","ht_tlso","ageb_tlso","aget_tlso","BC_ALBERS_X","BC_ALBERS_Y","objectid"
"1",4045170,"4045170-PSP1",1,1989,"Y","N","Prince George TSA","PSP","NONE","SBS","N","N","Spruce","1989-01-26","",3,"Crown - Forest Management Unit (TSA)","Inactive","NONE","NONE",10,377934,6093753,"SBSmk1","F",4,9.663,0,1804,0,42.398,0,13.535,0,"SW","SW  60 PL 40",NA,NA,NA,NA,1069783.786,1109057.562,18092
"2",4045170,"4045170-PSP2",2,1998,"N","Y","Prince George TSA","PSP","NONE","SBS","N","N","Spruce","1998-08-13","",3,"Crown - Forest Management Unit (TSA)","Inactive","NONE","NONE",10,377934,6093753,"SBSmk1","F",4,15.745,2.22,2591,534,74.047,7.721,29.023,0,"SW","SW  61 PL 39",NA,13,79.7,97.5,1069783.786,1109057.562,18093
"3",4045171,"4045171-PSP1",1,1993,"Y","Y","Prince George TSA","PSP","NONE","SBS","N","N","Spruce","1993-10-06","",1,"Crown - Forest Management Unit (TSA)","Active","NONE","NONE",10,376488,6096070,"SBSmk1","F",4,46.787,0,2777,0,318.294,0,248.26,0,"SW","SW  79 PL 13 AT 08",NA,22.1,63,73.1,1068243.841,1111317.434,18094
"4",4045172,"4045172-PSP1",1,1993,"Y","Y","Prince George TSA","PSP","NONE","SBS","N","N","Spruce","1993-10-05","",1,"Crown - Forest Management Unit (TSA)","Active","NONE","NONE",10,374507,6097814,"SBSmk1","F",4,53.576,0,3627,0,332.671,0,252.919,0,"SW","SW  95 EP 02 BL 02 AT 01",NA,22.8,61.2,71.1,1066195.153,1112980.25,18095
"5",4045173,"4045173-PSP1",1,1990,"Y","N","Prince George TSA","PSP","NONE","SBS","N","N","TrueFir","1990-10-17","",1,"Crown - Forest Management Unit (TSA)","Inactive","NONE","NONE",10,345964,6097704,"SBSwk3","F",4,47.497,0,1672,0,394.021,0,343.577,0,"BL","BL  95 PL 05",NA,NA,NA,NA,1037755.432,1111648.211,18096
"6",4045173,"4045173-PSP2",2,2000,"N","N","Prince George TSA","PSP","NONE","SBS","N","N","TrueFir","2000-11-02","",1,"Crown - Forest Management Unit (TSA)","Inactive","NONE","NONE",10,345964,6097704,"SBSwk3","F",4,39.641,17.314,1299,520,345.707,142.457,305.253,85.656,"BL","BL  94 PL 06",NA,24.1,76,87.4,1037755.432,1111648.211,18097
"7",4045173,"4045173-PSP3",3,2018,"N","Y","Prince George TSA","PSP","NONE","SBS","N","N","Other","2018-08-23","",1,"Crown - Forest Management Unit (TSA)","Inactive","NONE","NONE",10,345964,6097704,"SBSwk3","F",4,0,19.648,0,759,0,160.627,0,91.573,"","",0,0,0,0,1037755.432,1111648.211,18098
"8",1286776,"1286776-M1",1,2014,"Y","Y","Prince George TSA","CMI","GRID","SBS","N","Y","Other","2014-06-14","",1,"Crown - Forest Management Unit (TSA)","","20km X 20km","NFI",0,0,0,"SBSwk3","F",4,0,0,0,0,0,0,0,0,"","",0,0,0,0,1030000,1120000,23417
"9",1286781,"1286781-M1",1,2014,"Y","N","Prince George TSA","CMI","GRID","SBS","N","N","Pine","2014-06-14","",1,"Crown - Forest Management Unit (TSA)","","20km X 20km","NFI",0,0,0,"SBSwk3","F",4,0.896,0,500,0,1.998,0,0,0,"PL","PL 100",16.2,3.3,6.7,13.5,1050000,1120000,23418
"10",1286781,"1286781-M2",2,2019,"N","Y","Prince George TSA","CMI","GRID","SBS","N","N","Pine","2019-07-16","",1,"Crown - Forest Management Unit (TSA)","","20km X 20km","NFI",0,0,0,"SBSwk3","F",4,8.601,0.41,1200,125,28.491,1.222,9.43,0.409,"PL","PL  61 SW 39",18.9,7.4,14.2,20.4,1050000,1120000,23419
